# Iteration 0
Image 0:
-0.083144 -0.141685 0.082855
-0.003259 -0.068182 0.057777
0.023438 0.026159 -0.227442
-0.562976 0.058383 -0.353458
0.113796 -0.054355 -0.005055
0.019094 0.099231 0.112888
0.039614 0.192651 0.057266
-0.071533 -0.052827 -0.137294
0.122080 -0.026023 -0.048684
0.022985 0.116841 -0.102707

Image 5:
-0.988656 -0.618144 -0.396553
0.838197 1.285371 3.487143
0.815264 -4.733998 -0.283831
0.427622 -0.063053 0.295560
0.695211 3.548762 2.013420
-0.159712 -0.089905 -0.241360
-0.460625 0.511039 -0.282451
0.190656 0.028515 -0.182871
-0.100004 0.245222 -0.234468
-0.316580 -0.978665 -0.717478
-0.098659 0.036694 -0.010136
-0.116472 -0.543313 -0.126826
-0.122593 0.190000 -3.550398
-0.022622 0.085112 -0.022104
0.021387 0.045663 0.095851
0.253070 -0.056446 -0.103422
-0.235627 0.195959 0.433899
-0.014843 -0.040371 0.157750
0.216210 -0.020188 0.116076
0.029848 0.158112 -0.038456
0.035806 0.133085 -0.167535
-0.095456 -0.030376 -0.093647
-0.108352 -0.023511 0.021953
0.063650 -0.010433 0.141293
-0.353855 0.246167 0.020505
0.087223 0.042298 0.195033
0.061258 0.051501 0.118611
-0.093352 0.050082 -0.011472
0.068541 0.014779 -0.077394
-0.005194 0.033040 0.016610
-0.032599 -0.146690 0.134388
-0.066956 0.011142 0.074333
0.021225 -0.002109 -0.268922
-0.684033 0.143342 -0.399365
0.106750 -0.059573 -0.008641
0.021745 0.108820 0.115583
0.041706 0.197511 0.067101
-0.066525 -0.046293 -0.131462
0.119723 -0.023356 -0.049843
0.027624 0.124213 -0.106474

Image 6:
-1.063194 -0.686318 -0.301282
0.630415 1.440053 2.897892
1.137327 -5.242889 -0.225049
0.452193 -0.101156 0.304819
0.744372 4.002575 2.342286
-0.140090 -0.138964 -0.207555
-0.636408 0.522106 -0.356461
0.193506 0.049335 -0.190014
-0.110450 0.259757 -0.273419
-0.284242 -0.958582 -0.868123
-0.097577 0.036984 -0.011938
-0.209217 -0.611479 -0.149239
0.123978 0.214890 -3.147374
-0.020261 0.105161 -0.014716
0.005673 0.030608 0.071481
0.190913 -0.089904 -0.115507
-0.262820 0.189890 0.421823
-0.008706 -0.037189 0.159881
0.253663 0.005920 0.147126
0.014523 0.145731 -0.048029
0.045232 0.133197 -0.151775
-0.099188 -0.029039 -0.094820
-0.105535 -0.024025 0.024390
0.063859 -0.018799 0.144459
-0.368342 0.247871 0.015047
0.115981 0.012916 0.192099
0.058050 0.049034 0.116502
-0.092573 0.050685 -0.010607
0.066173 0.014498 -0.077070
0.002446 0.021417 0.017029
0.012139 -0.142421 0.166769
-0.074723 0.026966 0.086595
0.017420 -0.013907 -0.324451
-0.808256 0.219982 -0.446660
0.099947 -0.064781 -0.012567
0.020970 0.111959 0.118549
0.041178 0.195166 0.070097
-0.057164 -0.038477 -0.119869
0.118164 -0.021149 -0.047938
0.030624 0.132377 -0.102379

Image 7:
-1.153278 -0.648204 -0.179182
0.451372 1.464573 2.019257
1.504262 -5.613328 -0.138075
0.466553 -0.139755 0.312980
0.649009 4.469913 2.547082
-0.098584 -0.201078 -0.142648
-0.846217 0.495919 -0.421342
0.176790 0.074659 -0.184526
-0.123984 0.271874 -0.307965
-0.208582 -0.848568 -0.984048
-0.088510 0.038366 -0.013085
-0.323217 -0.603675 -0.200136
0.368865 0.230256 -2.513196
-0.022255 0.121378 -0.005643
-0.019114 0.007163 0.040386
0.146100 -0.156209 -0.148007
-0.239888 0.085641 0.424768
-0.002562 -0.030106 0.161902
0.296737 0.046597 0.226596
-0.008761 0.126424 -0.060654
0.063915 0.117822 -0.126759
-0.100341 -0.026835 -0.095486
-0.102804 -0.022306 0.026751
0.061842 -0.025082 0.146916
-0.361438 0.224442 -0.006286
0.145412 -0.031035 0.182145
0.052689 0.045793 0.112804
-0.092227 0.049910 -0.009969
0.062930 0.014668 -0.077233
-0.003291 0.012720 0.072016
0.045108 -0.133315 0.175010
-0.025798 -0.014380 0.102922
0.007022 -0.007655 -0.382684
-0.932120 0.286429 -0.487518
0.093130 -0.069880 -0.016599
0.017739 0.109800 0.121451
0.038552 0.186535 0.067593
-0.044707 -0.030847 -0.104034
0.116997 -0.019426 -0.043709
0.032653 0.140799 -0.091796

Image 8:
-1.255751 -0.516856 -0.030887
0.401301 1.260346 1.045836
1.862917 -5.780584 -0.041209
0.477556 -0.174210 0.320470
0.374464 4.904728 2.578499
-0.045752 -0.266410 -0.058132
-1.062829 0.441518 -0.462445
0.147682 0.100576 -0.165413
-0.144218 0.281300 -0.330615
-0.093556 -0.654888 -1.047227
-0.074690 0.040653 -0.014057
-0.435443 -0.555770 -0.261980
0.601516 0.222728 -1.788302
-0.025934 0.138992 0.001980
-0.048960 -0.019017 0.007691
0.108809 -0.243799 -0.195899
-0.187414 -0.053741 0.436833
0.004118 -0.018302 0.164003
0.346757 0.094039 0.319292
-0.036714 0.104124 -0.073720
0.089348 0.086211 -0.093462
-0.098761 -0.024576 -0.095706
-0.101289 -0.017760 0.029776
0.057264 -0.028077 0.147721
-0.330092 0.179721 -0.041312
0.169651 -0.081053 0.169881
0.046174 0.042375 0.108170
-0.092220 0.048192 -0.009632
0.059132 0.015331 -0.077792
-0.019162 0.009001 0.151605
0.066163 -0.122468 0.162437
0.055770 -0.079226 0.126842
-0.020533 0.012953 -0.434424
-1.048269 0.345408 -0.513367
0.085569 -0.074956 -0.020471
0.013357 0.104155 0.123925
0.034742 0.173205 0.062203
-0.030615 -0.024788 -0.085458
0.115121 -0.018134 -0.038201
0.034791 0.149058 -0.077458

Image 9:
-1.347685 -0.320909 0.121232
0.525747 0.730955 0.139815
2.140861 -5.623686 0.124444
0.488239 -0.200896 0.324314
-0.107542 5.209373 2.391955
0.006077 -0.321658 0.026347
-1.249338 0.377860 -0.463261
0.117887 0.123721 -0.136362
-0.175960 0.284796 -0.333664
0.051762 -0.397208 -1.053074
-0.059886 0.043323 -0.015261
-0.529535 -0.501634 -0.320291
0.867344 0.183604 -1.125785
-0.028591 0.162044 0.005586
-0.079866 -0.041652 -0.022196
0.070277 -0.330924 -0.244647
-0.121420 -0.165785 0.458872
0.011949 -0.002831 0.166880
0.398663 0.137076 0.395476
-0.064859 0.083775 -0.084587
0.115363 0.042275 -0.054111
-0.095105 -0.023161 -0.095719
-0.101138 -0.010537 0.033348
0.050632 -0.026988 0.146076
-0.276744 0.123124 -0.081613
0.183332 -0.127171 0.159846
0.039464 0.039357 0.103325
-0.092459 0.046242 -0.009616
0.055252 0.016265 -0.078453
-0.039642 0.009146 0.227043
0.076979 -0.112220 0.137746
0.142104 -0.134885 0.154764
-0.078787 0.037839 -0.481603
-1.143822 0.400016 -0.514621
0.077007 -0.080770 -0.023649
0.009036 0.096518 0.126482
0.030647 0.157076 0.056487
-0.015809 -0.020730 -0.066311
0.111746 -0.017553 -0.032697
0.037820 0.156810 -0.062518

Image 10:
-1.395231 -0.112302 0.261940
0.848976 -0.152519 -0.658892
2.137502 -5.049243 0.442344
0.500994 -0.219339 0.319972
-0.797652 5.288185 1.933609
0.058255 -0.355030 0.103925
-1.387070 0.313707 -0.418975
0.091595 0.139153 -0.101715
-0.222361 0.281676 -0.313642
0.226958 -0.088723 -0.990854
-0.046003 0.046839 -0.016266
-0.593197 -0.474447 -0.347560
1.280799 0.146558 -0.569756
-0.028556 0.196062 0.004544
-0.106227 -0.052522 -0.045538
0.025978 -0.385525 -0.276060
-0.042911 -0.221445 0.450212
0.020331 0.013115 0.171087
0.440613 0.166114 0.431749
-0.091315 0.067891 -0.092997
0.139494 -0.011118 -0.014112
-0.089828 -0.022654 -0.095766
-0.101540 -0.001752 0.036129
0.043223 -0.023014 0.142419
-0.201434 0.062752 -0.120146
0.184904 -0.166683 0.155271
0.033739 0.037482 0.099110
-0.093088 0.043417 -0.009816
0.051938 0.016789 -0.079017
-0.057934 0.009247 0.273412
0.081218 -0.100751 0.113113
0.204649 -0.152586 0.176475
-0.174530 0.051754 -0.528457
-1.188652 0.443555 -0.462777
0.067309 -0.088805 -0.026005
0.005662 0.088021 0.129677
0.027449 0.140216 0.052986
-0.001877 -0.019698 -0.050425
0.106112 -0.018159 -0.028676
0.041709 0.163782 -0.050519

Image 11:
-1.378123 0.051238 0.394900
1.437812 -1.316465 -1.250317
1.616022 -4.042112 0.897400
0.510830 -0.221745 0.300881
-1.640082 5.118761 1.184818
0.101458 -0.351079 0.159682
-1.448434 0.248614 -0.329022
0.073383 0.138546 -0.062716
-0.273936 0.269257 -0.271074
0.406506 0.226052 -0.850460
-0.034930 0.049002 -0.016321
-0.601368 -0.514004 -0.313229
1.851392 0.144564 -0.166111
-0.022503 0.242006 -0.002326
-0.118177 -0.047782 -0.056007
-0.029791 -0.381055 -0.264219
0.070519 -0.225625 0.347750
0.027362 0.026097 0.176300
0.461339 0.174041 0.413117
-0.108892 0.061416 -0.097058
0.160220 -0.066830 0.010896
-0.084124 -0.022849 -0.095815
-0.103323 0.008202 0.036286
0.036319 -0.015812 0.137921
-0.115440 0.007001 -0.149586
0.170456 -0.192325 0.160818
0.030295 0.037053 0.096735
-0.093815 0.039702 -0.010121
0.049915 0.016891 -0.079936
-0.064698 0.008229 0.268660
0.083800 -0.083170 0.104757
0.215520 -0.113012 0.177849
-0.297614 0.049832 -0.566241
-1.127066 0.445825 -0.333295
0.058522 -0.099151 -0.027016
0.003504 0.080290 0.133426
0.025387 0.123708 0.054280
0.007309 -0.022143 -0.042575
0.099069 -0.019527 -0.028061
0.045377 0.168359 -0.044970

Image 12:
-1.306186 0.161088 0.520824
2.326549 -2.502851 -1.441138
0.462099 -2.733063 1.319867
0.511353 -0.203334 0.264496
-2.451774 4.667484 0.197121
0.120119 -0.304963 0.177048
-1.388829 0.190355 -0.203030
0.065564 0.111713 -0.021170
-0.313544 0.247674 -0.210475
0.537399 0.475393 -0.635860
-0.026084 0.047833 -0.014091
-0.538870 -0.621860 -0.226759
2.429319 0.187344 0.036451
-0.008840 0.291844 -0.014382
-0.111725 -0.031791 -0.049550
-0.094042 -0.323227 -0.196975
0.231872 -0.204308 0.144134
0.031714 0.034054 0.180572
0.461503 0.160862 0.349506
-0.111551 0.067155 -0.094185
0.170644 -0.114148 0.010103
-0.078685 -0.023493 -0.096638
-0.105640 0.016640 0.032633
0.030188 -0.005039 0.132782
-0.039059 -0.034954 -0.165153
0.137357 -0.193999 0.177670
0.029474 0.037759 0.096677
-0.094037 0.035719 -0.010435
0.049291 0.017161 -0.081443
-0.054269 0.010052 0.216906
0.086537 -0.057890 0.121745
0.167540 -0.024290 0.150802
-0.428636 0.048254 -0.581629
-0.925572 0.377452 -0.134406
0.053550 -0.109814 -0.026192
0.002003 0.073988 0.137126
0.023803 0.107428 0.060161
0.008678 -0.026058 -0.044650
0.092998 -0.020650 -0.031162
0.047789 0.168478 -0.047299

Image 13:
-1.197618 0.212768 0.616302
3.297341 -3.352347 -1.130131
-0.936680 -1.527647 1.480459
0.501709 -0.170113 0.214835
-3.011404 4.049651 -0.765575
0.114986 -0.237903 0.163789
-1.231443 0.158662 -0.086828
0.063707 0.067223 0.011964
-0.329312 0.225501 -0.150227
0.589710 0.602927 -0.418434
-0.021028 0.045328 -0.009328
-0.427358 -0.767142 -0.135658
2.761629 0.246203 0.069850
0.010050 0.335765 -0.027309
-0.092969 -0.011222 -0.028486
-0.146778 -0.237463 -0.099318
0.396654 -0.171567 -0.088702
0.032267 0.035695 0.181263
0.450015 0.137307 0.267903
-0.103894 0.081143 -0.086844
0.167628 -0.141421 -0.012254
-0.074285 -0.024695 -0.099324
-0.106876 0.021152 0.026460
0.024867 0.005646 0.127845
0.009514 -0.055271 -0.167315
0.097926 -0.176072 0.199925
0.030459 0.039510 0.098333
-0.093561 0.033338 -0.010572
0.049828 0.017307 -0.083186
-0.030364 0.019346 0.145942
0.086148 -0.032174 0.158853
0.077559 0.084598 0.098456
-0.528562 0.067290 -0.563174
-0.646185 0.263538 0.064714
0.052582 -0.118761 -0.024163
0.001030 0.068796 0.139973
0.022436 0.092176 0.067974
0.002712 -0.029902 -0.055799
0.089033 -0.021120 -0.036412
0.048526 0.163952 -0.055801

Image 14:
-1.069400 0.192814 0.658179
4.012170 -3.737855 -0.467126
-2.017165 -0.715577 1.411760
0.483380 -0.135547 0.158939
-3.271059 3.492508 -1.425239
0.096663 -0.173644 0.135901
-1.048089 0.152913 -0.012661
0.062951 0.027834 0.027259
-0.323169 0.208452 -0.102377
0.573176 0.611941 -0.278236
-0.022972 0.043058 -0.004028
-0.295114 -0.911567 -0.073853
2.773242 0.256068 -0.074742
0.028475 0.368290 -0.037655
-0.069496 0.012070 0.001727
-0.168047 -0.143670 -0.007130
0.513381 -0.130552 -0.270556
0.028898 0.032535 0.177549
0.434366 0.114226 0.191032
-0.091916 0.098284 -0.079370
0.155639 -0.146481 -0.044266
-0.072236 -0.026066 -0.103025
-0.107299 0.022413 0.020560
0.021041 0.013645 0.123617
0.025740 -0.057029 -0.160028
0.064483 -0.150587 0.219633
0.032870 0.042085 0.100775
-0.093210 0.033692 -0.010607
0.051426 0.017501 -0.085016
-0.004503 0.034195 0.079964
0.079122 -0.012188 0.203117
-0.027329 0.187269 0.031210
-0.567606 0.102782 -0.512476
-0.389926 0.158117 0.195739
0.053578 -0.125816 -0.021972
0.000364 0.063437 0.140780
0.021470 0.080127 0.074862
-0.007938 -0.034524 -0.072787
0.086432 -0.021832 -0.041980
0.047608 0.156679 -0.067470

Image 15:
-0.938267 0.141330 0.641858
4.436913 -3.807456 0.284396
-2.631962 -0.230353 1.285723
0.454809 -0.108346 0.105117
-3.383243 3.065779 -1.807973
0.079693 -0.120604 0.110676
-0.885902 0.161465 0.023642
0.062143 0.004315 0.031232
-0.304551 0.191639 -0.063975
0.509508 0.568568 -0.205838
-0.028978 0.040350 -0.000288
-0.166288 -0.999350 -0.046893
2.580175 0.207803 -0.357924
0.040516 0.383476 -0.043587
-0.047022 0.034597 0.033659
-0.151325 -0.063968 0.050887
0.565566 -0.109038 -0.351908
0.022936 0.028195 0.170326
0.416115 0.094250 0.140168
-0.079042 0.114131 -0.074143
0.142071 -0.140161 -0.072794
-0.071878 -0.027620 -0.106121
-0.107645 0.021948 0.015734
0.019188 0.020309 0.119027
0.024460 -0.052136 -0.149042
0.039916 -0.126028 0.229404
0.036035 0.044188 0.103099
-0.093543 0.035544 -0.010725
0.053588 0.017841 -0.086617
0.007968 0.051552 0.039352
0.063052 0.000400 0.234034
-0.107661 0.254651 -0.030973
-0.550514 0.141497 -0.443631
-0.193422 0.077160 0.251990
0.055593 -0.130304 -0.020216
-0.000577 0.056760 0.138984
0.021151 0.072562 0.077763
-0.019789 -0.040139 -0.090130
0.084786 -0.023462 -0.046128
0.045428 0.148653 -0.078165

Image 16:
-0.812705 0.122940 0.568173
4.598333 -3.671929 0.915329
-2.824323 0.045732 1.138516
0.414107 -0.091011 0.061468
-3.417061 2.726250 -2.005423
0.070232 -0.082348 0.094722
-0.748290 0.171816 0.035440
0.059541 -0.005695 0.031044
-0.277085 0.168732 -0.032484
0.420737 0.513027 -0.159435
-0.034179 0.037284 0.001469
-0.061348 -0.986605 -0.057880
2.270347 0.134270 -0.642081
0.043417 0.372953 -0.043187
-0.030456 0.049275 0.060683
-0.095202 -0.023337 0.054728
0.545826 -0.126416 -0.301131
0.015266 0.024254 0.161280
0.397049 0.075929 0.134344
-0.066358 0.125857 -0.071603
0.129826 -0.127828 -0.092759
-0.071639 -0.029185 -0.108156
-0.108321 0.020757 0.010947
0.019348 0.026581 0.113970
0.016889 -0.048333 -0.138325
0.023032 -0.104424 0.226864
0.038788 0.045280 0.104373
-0.094549 0.037651 -0.010977
0.055423 0.018693 -0.087704
-0.008000 0.073138 0.040814
0.035841 0.000532 0.229272
-0.125139 0.257511 -0.061279
-0.492027 0.176057 -0.372326
-0.062601 0.014764 0.247077
0.059264 -0.130044 -0.018616
-0.002302 0.048418 0.134438
0.021349 0.069915 0.073930
-0.030037 -0.044933 -0.103591
0.084947 -0.025765 -0.047742
0.042059 0.140239 -0.084181

Image 17:
-0.688752 0.168157 0.450925
4.475135 -3.347105 1.304433
-2.691280 0.187123 0.931834
0.358397 -0.081059 0.030867
-3.321544 2.392524 -2.044385
0.065621 -0.057901 0.082920
-0.616561 0.175199 0.033877
0.052761 -0.008951 0.029704
-0.239159 0.137848 -0.008890
0.320157 0.447539 -0.113885
-0.035253 0.034435 0.001570
0.013738 -0.859980 -0.100440
1.883970 0.067118 -0.793870
0.038101 0.331554 -0.035757
-0.021774 0.051368 0.078190
-0.008782 -0.032304 0.004903
0.462308 -0.176106 -0.136384
