 ----------------------------------------------------------------------
 #P 
 ----------------------------------------------------------------------

  and normal coordinates:

                       1                       2                       3            
                       A                       A                       A            
 Frequencies --       -205.1182               -37.3765               -22.0162       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     6   6    0.00    0.03    0.03    0.02    0.09   -0.04    0.06   -0.00   -0.01
     7   6   -0.03    0.04    0.05    0.03    0.01    0.02    0.03    0.01    0.06
     8   6   -0.04    0.04    0.07    0.04    0.00   -0.01    0.04    0.04    0.04
     9   6   -0.08   -0.01    0.04    0.02    0.01   -0.02   -0.03    0.02   -0.00
    10   6   -0.02   -0.01    0.02   -0.02   -0.00   -0.03   -0.03    0.01    0.00
    11   6    0.04    0.03   -0.06   -0.01    0.00    0.01   -0.03    0.04   -0.02
    12   6    0.03   -0.05   -0.04    0.02   -0.06   -0.03    0.02   -0.01   -0.01
    13   6    0.01   -0.09   -0.01   -0.04    0.01    0.03   -0.00   -0.05   -0.02
    14   6    0.03    0.04   -0.00    0.01    0.01    0.05   -0.07   -0.01    0.02
    15   6    0.05   -0.04    0.02   -0.09   -0.06    0.01   -0.00    0.04   -0.08
    16   1   -0.03    0.03   -0.13    0.00    0.07   -0.16    0.09   -0.05    0.25
    17   1    0.01    0.02   -0.03    0.07   -0.05   -0.03    0.05   -0.10   -0.05
    18   1    0.03    0.03    0.04   -0.01    0.28   -0.08    0.12    0.05   -0.00
    19   1    0.06   -0.06   -0.06    0.12   -0.10   -0.05   -0.19    0.14    0.08
    20   1   -0.01    0.03    0.03    0.07    0.01   -0.22    0.07   -0.02   -0.05
    21   1   -0.05    0.07    0.04    0.03   -0.03    0.03    0.01   -0.02    0.06
    22   1   -0.02    0.03    0.06    0.05   -0.01   -0.02    0.07    0.02    0.02
    23   1   -0.09   -0.07   -0.02    0.03    0.05   -0.01   -0.04    0.00   -0.08
    24   1   -0.16   -0.01    0.09    0.05   -0.01   -0.02   -0.10    0.01    0.04
    25   1   -0.01   -0.04    0.04    0.01    0.03   -0.10   -0.01    0.02   -0.04
    26   1    0.01   -0.01    0.02   -0.09   -0.03   -0.03   -0.08    0.00    0.00
    27   1    0.12    0.09   -0.14   -0.05    0.01    0.02   -0.07    0.11   -0.04
    28   1    0.06    0.10   -0.06   -0.03   -0.05    0.01   -0.06   -0.04   -0.04
    29   1    0.03   -0.13   -0.12   -0.02    0.05    0.02   -0.05    0.03   -0.03
    30   1    0.04   -0.10   -0.02    0.03   -0.15   -0.01    0.03   -0.02    0.00
    31   1    0.02   -0.04   -0.03    0.02   -0.04   -0.04    0.01   -0.01   -0.00
    32   1    0.06   -0.04   -0.08    0.07   -0.03   -0.11    0.03   -0.00   -0.02
    33   1    0.05   -0.14   -0.06   -0.07    0.01   -0.01    0.05   -0.09   -0.03
    34   1   -0.03   -0.13    0.06   -0.01   -0.00    0.06   -0.06   -0.07    0.00
    35   1    0.01    0.01    0.03    0.01    0.00    0.04   -0.04    0.07    0.13
    36   1    0.01    0.10   -0.01    0.01   -0.01    0.05   -0.19   -0.06   -0.02
    37   1    0.07    0.02   -0.05    0.02    0.02    0.08   -0.13    0.01    0.07
    38   1    0.04   -0.03    0.03   -0.14   -0.16    0.11   -0.03    0.07   -0.07
    39   1    0.01   -0.13    0.08   -0.08   -0.04   -0.03    0.02    0.09   -0.16
    40   1    0.15   -0.06   -0.02   -0.15   -0.09   -0.12   -0.06    0.07   -0.01

                       25                      26                      27           
                       A                       A                       A            
 Frequencies --        420.3094               431.7648               456.6384       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.05   -0.03   -0.03   -0.04    0.09   -0.04    0.01   -0.02    0.02
     2   6   -0.03   -0.08   -0.02    0.00    0.04    0.01   -0.05    0.09    0.05
     3   6    0.03    0.03   -0.04   -0.01    0.03    0.00   -0.06    0.08   -0.05
     4   6   -0.03   -0.00    0.02   -0.02    0.06   -0.06    0.07   -0.02    0.02
     5   6   -0.03   -0.01    0.05   -0.01    0.00    0.02   -0.04    0.02   -0.04
     6   6   -0.01    0.03    0.00   -0.02    0.02    0.06    0.05   -0.05   -0.02
     7   6    0.01   -0.03    0.05    0.02   -0.00    0.03    0.01   -0.01   -0.03
     8   6    0.02   -0.03   -0.03    0.02   -0.04   -0.03    0.00   -0.04    0.01
     9   6    0.02    0.05   -0.02    0.03    0.01   -0.02   -0.01   -0.01    0.01
    10   6   -0.06    0.03    0.03   -0.03    0.01    0.01   -0.03   -0.00    0.01
    11   6   -0.01   -0.03    0.03    0.02   -0.05    0.03    0.01   -0.06    0.02
    12   6    0.04    0.05    0.00    0.02    0.00   -0.02    0.05    0.03   -0.02
    13   6    0.05   -0.05   -0.03   -0.01   -0.02    0.01   -0.02   -0.04    0.00
    14   6    0.01    0.03   -0.05   -0.04   -0.04    0.03    0.03    0.03    0.04
    15   6    0.02    0.03    0.05    0.04   -0.05   -0.06   -0.02    0.02   -0.02
    16   1   -0.05    0.00   -0.09   -0.01    0.07    0.01   -0.09   -0.10   -0.04
    17   1    0.01   -0.12   -0.06    0.06    0.03    0.00   -0.10    0.09    0.04
    18   1   -0.00    0.13   -0.01    0.04   -0.15    0.11    0.03   -0.05   -0.03
    19   1   -0.01   -0.08   -0.04   -0.06    0.13   -0.04    0.08   -0.07    0.01
    20   1   -0.00   -0.02   -0.10   -0.12    0.08    0.19    0.07   -0.04   -0.01
    21   1    0.06   -0.09    0.07    0.08   -0.00    0.05   -0.03   -0.02   -0.04
    22   1    0.03   -0.04   -0.03    0.03   -0.06   -0.03    0.00   -0.06    0.01
    23   1    0.03    0.14    0.02    0.04    0.09    0.03   -0.00    0.02    0.00
    24   1    0.09    0.06   -0.06    0.11    0.02   -0.06    0.01   -0.01    0.00
    25   1   -0.08    0.05    0.04   -0.03    0.02   -0.01   -0.04   -0.02    0.06
    26   1   -0.09    0.06    0.05   -0.05    0.01    0.01    0.04    0.01    0.01
    27   1   -0.02   -0.08    0.07    0.04   -0.11    0.05    0.00   -0.08    0.03
    28   1   -0.02   -0.06    0.07    0.01   -0.05    0.09    0.01   -0.04    0.01
    29   1   -0.02    0.05    0.06   -0.01    0.01    0.04    0.03   -0.05    0.03
    30   1    0.07    0.11    0.01    0.02   -0.05   -0.01    0.08   -0.04    0.00
    31   1    0.01    0.01    0.04    0.03    0.00   -0.02    0.05   -0.04    0.00
    32   1    0.04    0.06    0.03    0.05    0.02   -0.05    0.15    0.10   -0.06
    33   1    0.14   -0.12   -0.04    0.02   -0.06   -0.03    0.05   -0.12   -0.08
    34   1   -0.03   -0.09    0.01   -0.05   -0.05    0.05   -0.09   -0.12    0.13
    35   1    0.00    0.01   -0.07   -0.04   -0.06    0.02    0.04    0.08    0.11
    36   1    0.06    0.14   -0.03   -0.09   -0.19    0.01   -0.03    0.05    0.02
    37   1    0.02   -0.00   -0.16   -0.02    0.00    0.19   -0.01    0.03    0.01
    38   1    0.06    0.06   -0.00    0.07   -0.12   -0.04   -0.12    0.04    0.04
    39   1    0.02    0.02    0.10    0.02   -0.11    0.06   -0.02    0.04   -0.17
    40   1    0.05    0.03    0.10    0.11   -0.09   -0.17   -0.09    0.03    0.00

                       28                      29                      30           
                       A                       A                       A            
 Frequencies --        467.8790               489.9699               534.7317       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.09    0.03    0.03   -0.02    0.03   -0.03   -0.02    0.03   -0.01
     2   6    0.09    0.00   -0.01   -0.04    0.02   -0.03    0.00    0.02    0.08
     3   6    0.02    0.03    0.01    0.06   -0.08   -0.04   -0.03    0.04   -0.05
     4   6    0.02    0.01    0.02    0.06    0.04    0.01   -0.03    0.03   -0.01
     5   6    0.01   -0.03    0.04   -0.05   -0.04   -0.02   -0.02   -0.07    0.01
     6   6   -0.04   -0.08   -0.03    0.03   -0.02   -0.01   -0.03   -0.03   -0.02
     7   6   -0.06   -0.07   -0.03    0.00   -0.04    0.01    0.02   -0.07    0.00
     8   6   -0.06    0.01   -0.02    0.02   -0.00    0.02    0.09    0.06    0.03
     9   6   -0.03    0.05    0.00   -0.02    0.03    0.01    0.03   -0.05   -0.01
    10   6   -0.05    0.04    0.00   -0.05    0.01    0.04    0.00   -0.06    0.02
    11   6   -0.01    0.03    0.00   -0.01   -0.01    0.00   -0.01    0.09   -0.03
    12   6    0.02    0.03   -0.02   -0.05   -0.00    0.03    0.01    0.04    0.00
    13   6   -0.01   -0.03   -0.03    0.07    0.03   -0.04    0.00    0.00   -0.00
    14   6    0.04   -0.01    0.03    0.05    0.04    0.07   -0.01   -0.02   -0.01
    15   6   -0.01   -0.01    0.01   -0.02   -0.03   -0.04   -0.00   -0.00    0.01
    16   1    0.13    0.05    0.07   -0.05    0.01   -0.05   -0.08    0.03   -0.11
    17   1    0.15   -0.05   -0.05    0.00    0.02   -0.02    0.04   -0.03    0.03
    18   1   -0.07   -0.12   -0.03    0.03   -0.02   -0.01   -0.06   -0.04   -0.03
    19   1    0.02    0.05    0.04   -0.01   -0.01   -0.03    0.11   -0.01   -0.04
    20   1   -0.08   -0.06    0.01   -0.03   -0.02   -0.02   -0.10   -0.04   -0.04
    21   1   -0.10   -0.11   -0.04   -0.02   -0.04   -0.00    0.02   -0.11    0.01
    22   1   -0.11    0.05   -0.00    0.02   -0.01    0.02    0.07    0.10    0.02
    23   1   -0.03    0.06    0.04   -0.02    0.05   -0.04    0.03   -0.05   -0.10
    24   1    0.00    0.06   -0.02   -0.04    0.03    0.02   -0.05   -0.09    0.07
    25   1   -0.03    0.08   -0.08   -0.10   -0.00    0.12   -0.02   -0.10    0.09
    26   1   -0.15   -0.01   -0.00    0.01    0.07    0.05    0.04   -0.00    0.04
    27   1   -0.01    0.00    0.02   -0.03    0.02    0.00   -0.08    0.24   -0.09
    28   1   -0.00    0.06    0.00   -0.02   -0.05    0.00   -0.07   -0.07   -0.05
    29   1    0.00    0.04    0.01   -0.02    0.00    0.00   -0.09    0.09   -0.07
    30   1    0.00    0.02   -0.03   -0.03    0.17    0.01    0.03    0.06    0.01
    31   1    0.04    0.07   -0.04   -0.08    0.01    0.06    0.00   -0.04    0.03
    32   1    0.01    0.01   -0.04   -0.16   -0.07    0.12    0.05    0.07    0.03
    33   1    0.02   -0.07   -0.11    0.00    0.11    0.06    0.04   -0.03   -0.01
    34   1   -0.07   -0.07    0.03    0.18    0.10   -0.13   -0.02   -0.02    0.03
    35   1    0.02   -0.06   -0.01    0.05    0.06    0.10   -0.03   -0.06   -0.06
    36   1    0.07   -0.06    0.04   -0.00    0.00    0.05    0.02   -0.04   -0.00
    37   1    0.09   -0.00    0.08    0.04    0.06    0.11    0.03   -0.01    0.02
    38   1   -0.04   -0.02    0.05   -0.09   -0.09    0.06    0.02   -0.02   -0.00
    39   1   -0.01   -0.03   -0.01   -0.02   -0.02   -0.10   -0.01   -0.02    0.07
    40   1   -0.00   -0.02   -0.02   -0.07   -0.05   -0.14    0.03   -0.01   -0.01

                       31                      32                      33           
                       A                       A                       A            
 Frequencies --        567.7818               583.2159               643.3979       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.01   -0.02   -0.01    0.05   -0.00    0.04   -0.06   -0.02   -0.03
     2   6   -0.02   -0.03   -0.02    0.04    0.03    0.10   -0.03   -0.08    0.01
     3   6    0.01    0.01    0.03   -0.06   -0.03   -0.13   -0.05    0.02   -0.04
     4   6    0.04   -0.00    0.00   -0.00   -0.01   -0.02    0.01    0.04   -0.00
     5   6   -0.03   -0.00    0.03    0.03   -0.04    0.01    0.04    0.03    0.05
     6   6    0.02    0.01    0.02   -0.00    0.04    0.02   -0.02   -0.01   -0.02
     7   6   -0.04    0.02    0.02   -0.03    0.02    0.06   -0.00   -0.02   -0.05
     8   6   -0.07    0.03   -0.08   -0.07   -0.00   -0.03   -0.02    0.00   -0.00
     9   6    0.05   -0.07   -0.04   -0.01    0.02   -0.01   -0.00   -0.00    0.01
    10   6   -0.02   -0.09    0.03    0.00    0.02   -0.01    0.06    0.02   -0.01
    11   6   -0.00    0.08   -0.03   -0.00    0.01   -0.00   -0.00    0.01   -0.00
    12   6    0.00    0.02    0.00   -0.03   -0.04    0.01    0.00   -0.01    0.00
    13   6   -0.01   -0.00    0.01    0.04   -0.01   -0.02    0.01    0.01    0.04
    14   6    0.02    0.03    0.03   -0.02   -0.02   -0.01    0.05    0.04    0.04
    15   6    0.01    0.00   -0.03    0.01    0.00   -0.02    0.01    0.00   -0.03
    16   1   -0.00   -0.04    0.03   -0.01   -0.03   -0.04   -0.03   -0.01    0.01
    17   1   -0.00   -0.02   -0.02    0.04   -0.05    0.01   -0.05   -0.08    0.01
    18   1    0.07    0.03    0.03    0.06    0.12    0.03   -0.06   -0.16   -0.01
    19   1   -0.05   -0.00    0.00    0.17   -0.03    0.02   -0.08   -0.01   -0.02
    20   1    0.03    0.01    0.01    0.04    0.00   -0.05   -0.08    0.05    0.10
    21   1    0.01   -0.02    0.05    0.01    0.04    0.07   -0.03   -0.07   -0.05
    22   1   -0.05    0.07   -0.12   -0.04   -0.01   -0.05   -0.06    0.01    0.02
    23   1    0.08    0.05    0.24   -0.00    0.03    0.10   -0.01   -0.09   -0.02
    24   1    0.31   -0.13   -0.13    0.08    0.04   -0.07   -0.07    0.04    0.02
    25   1   -0.02   -0.17    0.14    0.01    0.03   -0.02    0.09    0.06   -0.12
    26   1    0.05    0.04    0.08   -0.04    0.02   -0.00   -0.02   -0.06   -0.04
    27   1    0.05    0.01   -0.01    0.04   -0.07    0.03    0.01   -0.00    0.00
    28   1    0.03    0.18   -0.01    0.02    0.10    0.02    0.01    0.03   -0.00
    29   1    0.02    0.06   -0.02    0.03    0.01    0.02    0.01    0.00    0.00
    30   1   -0.02    0.00   -0.01    0.05    0.07    0.05    0.07   -0.01    0.05
    31   1    0.03    0.04   -0.02   -0.11   -0.19    0.12   -0.04   -0.14    0.08
    32   1   -0.00    0.02    0.01    0.01    0.01    0.08    0.10    0.06    0.01
    33   1    0.03   -0.03    0.01    0.05    0.02    0.09    0.28   -0.09    0.33
    34   1   -0.06   -0.01    0.01    0.10    0.04   -0.09   -0.21    0.10   -0.23
    35   1    0.04    0.06    0.07   -0.02   -0.02    0.01    0.04    0.04    0.03
    36   1   -0.01    0.03    0.02   -0.05   -0.03   -0.02    0.05    0.03    0.05
    37   1   -0.00    0.03    0.02   -0.02   -0.02    0.01    0.06    0.05    0.06
    38   1   -0.03   -0.01    0.01    0.04    0.01   -0.05   -0.02   -0.03    0.01
    39   1    0.01    0.01   -0.08    0.02    0.02   -0.01    0.00   -0.02   -0.04
    40   1   -0.02    0.00   -0.04    0.01    0.01    0.01    0.01   -0.02   -0.09

                       34                      35                      36           
                       A                       A                       A            
 Frequencies --        687.8000               746.2901               767.3145       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.04    0.04   -0.04   -0.08    0.03   -0.08   -0.05    0.01   -0.00
     2   6    0.03    0.11   -0.09   -0.02    0.07   -0.01   -0.00   -0.01    0.03
     3   6   -0.02   -0.01   -0.03   -0.00   -0.01   -0.01   -0.00   -0.01   -0.04
     4   6   -0.00   -0.04    0.01    0.02   -0.03    0.00    0.00   -0.00   -0.00
     5   6   -0.01    0.06    0.05    0.01    0.01    0.03    0.03    0.05    0.10
     6   6    0.03   -0.04   -0.01    0.02   -0.06    0.02    0.05    0.03   -0.05
     7   6    0.00    0.01   -0.01   -0.02   -0.07    0.08    0.04    0.04   -0.08
     8   6    0.03    0.00   -0.00   -0.03   -0.00   -0.03   -0.01   -0.01   -0.02
     9   6    0.01   -0.02   -0.01    0.01    0.00    0.00   -0.00   -0.02    0.02
    10   6   -0.05   -0.03    0.04    0.11    0.03   -0.02   -0.02   -0.02    0.06
    11   6    0.00   -0.00   -0.00   -0.01    0.03   -0.01   -0.00    0.01   -0.01
    12   6   -0.02   -0.04    0.00    0.00    0.00   -0.00   -0.01   -0.02   -0.00
    13   6    0.02    0.00    0.02    0.00    0.00   -0.00    0.02   -0.01   -0.03
    14   6   -0.03   -0.03   -0.03    0.01    0.00    0.01   -0.01   -0.01   -0.01
    15   6   -0.03   -0.01    0.07   -0.01   -0.01    0.03   -0.01   -0.00    0.03
    16   1    0.09    0.02    0.08   -0.08   -0.05    0.04   -0.08    0.01   -0.05
    17   1    0.07    0.11   -0.08    0.04    0.06   -0.01    0.06   -0.10   -0.05
    18   1    0.01   -0.02   -0.02    0.08    0.10    0.01   -0.01   -0.28   -0.02
    19   1   -0.12    0.07    0.00   -0.15    0.07   -0.06    0.02   -0.01   -0.02
    20   1    0.08   -0.04   -0.00    0.01   -0.13   -0.15    0.05    0.15    0.25
    21   1   -0.00   -0.05   -0.00    0.03   -0.12    0.11   -0.03   -0.08   -0.09
    22   1    0.04    0.00   -0.01   -0.01   -0.01   -0.04   -0.02   -0.01   -0.01
    23   1    0.02    0.07    0.00   -0.00   -0.17    0.03   -0.00   -0.02    0.00
    24   1    0.06   -0.06   -0.00   -0.05    0.10   -0.03   -0.02    0.00    0.01
    25   1   -0.01   -0.06    0.01    0.13    0.13   -0.18    0.05    0.03   -0.10
    26   1   -0.06   -0.02    0.04   -0.02   -0.12   -0.07   -0.16   -0.11    0.04
    27   1   -0.01    0.02   -0.01    0.00   -0.03    0.02    0.02   -0.03    0.01
    28   1   -0.01   -0.03   -0.01   -0.00    0.05    0.01    0.01    0.06    0.00
    29   1   -0.01    0.00   -0.01    0.00    0.07    0.01    0.02    0.02    0.01
    30   1    0.02   -0.02    0.03   -0.01    0.00   -0.01   -0.01    0.02   -0.00
    31   1   -0.06   -0.11    0.05    0.00    0.02   -0.01   -0.03   -0.02    0.01
    32   1    0.02   -0.00    0.02   -0.01   -0.01   -0.01   -0.05   -0.04    0.02
    33   1    0.23   -0.07    0.27   -0.09    0.04   -0.10   -0.18    0.07   -0.22
    34   1   -0.14    0.09   -0.21    0.11   -0.03    0.12    0.26   -0.07    0.19
    35   1   -0.02   -0.02   -0.04    0.03    0.05    0.03    0.00    0.01   -0.01
    36   1   -0.01   -0.00   -0.03    0.00    0.04    0.00   -0.00    0.00   -0.01
    37   1   -0.05   -0.04   -0.08   -0.04   -0.01   -0.05   -0.02   -0.01   -0.02
    38   1   -0.03    0.01    0.06   -0.03   -0.01    0.05   -0.04    0.01    0.05
    39   1   -0.02    0.00    0.06   -0.01    0.00   -0.00   -0.01    0.01   -0.01
    40   1   -0.04    0.00    0.11   -0.04   -0.00    0.04   -0.04    0.00    0.05

                       37                      38                      39           
                       A                       A                       A            
 Frequencies --        792.4837               836.3462               850.2793       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.05   -0.06    0.07   -0.01   -0.02   -0.02   -0.03    0.09    0.12
     2   6   -0.03    0.05   -0.07   -0.00   -0.00    0.02   -0.03   -0.02   -0.07
     3   6   -0.00   -0.01   -0.02   -0.00    0.00   -0.02    0.01    0.00    0.01
     4   6   -0.02    0.00    0.01   -0.01    0.01   -0.01    0.00    0.02    0.01
     5   6   -0.01    0.09    0.05    0.04    0.06    0.06   -0.01    0.03    0.01
     6   6   -0.10    0.01    0.02   -0.03   -0.04   -0.04    0.06   -0.05   -0.03
     7   6   -0.03   -0.02    0.01   -0.05    0.01    0.04    0.01   -0.02    0.04
     8   6    0.05   -0.00   -0.02    0.01    0.03    0.08   -0.02    0.00    0.01
     9   6    0.03   -0.02    0.01    0.01   -0.02   -0.09   -0.01   -0.00   -0.01
    10   6    0.01   -0.02    0.04    0.01    0.03   -0.07    0.03    0.02   -0.03
    11   6    0.02    0.01   -0.00    0.01   -0.05    0.04   -0.01   -0.00    0.00
    12   6   -0.01   -0.02   -0.00   -0.02   -0.02   -0.00   -0.00   -0.01    0.01
    13   6    0.01   -0.01   -0.02    0.01   -0.00   -0.01   -0.00    0.00    0.00
    14   6    0.02    0.02    0.02    0.01    0.02    0.02   -0.03   -0.01   -0.03
    15   6    0.03    0.00   -0.08   -0.00    0.00    0.01    0.01   -0.00   -0.01
    16   1    0.00   -0.08    0.01    0.02   -0.05    0.05   -0.17    0.22   -0.31
    17   1   -0.17    0.10   -0.04   -0.02   -0.01    0.01   -0.04   -0.07   -0.13
    18   1   -0.13    0.11   -0.01   -0.01   -0.08   -0.02    0.12   -0.11    0.00
    19   1    0.03   -0.12    0.07   -0.06    0.04   -0.01    0.28   -0.22    0.04
    20   1   -0.11   -0.03   -0.08   -0.07   -0.02    0.01   -0.01   -0.03    0.01
    21   1    0.06   -0.08    0.05   -0.15   -0.00    0.01   -0.03   -0.08    0.04
    22   1    0.02    0.02   -0.01    0.05    0.11    0.00    0.03   -0.00   -0.02
    23   1    0.02   -0.05   -0.08    0.03    0.16    0.07   -0.01   -0.02    0.08
    24   1   -0.06    0.02    0.03    0.21   -0.16   -0.09    0.06   -0.02   -0.04
    25   1    0.06    0.06   -0.12    0.09   -0.17    0.08    0.05   -0.01   -0.01
    26   1   -0.10   -0.15    0.01    0.06    0.29    0.02    0.05    0.04   -0.02
    27   1   -0.03    0.03    0.00   -0.02    0.15   -0.08    0.01   -0.01   -0.00
    28   1   -0.02   -0.08    0.02   -0.01   -0.14   -0.06    0.00    0.03   -0.01
    29   1   -0.03    0.07   -0.01   -0.03   -0.24   -0.04    0.01   -0.02    0.00
    30   1   -0.00   -0.00    0.01   -0.01   -0.02    0.01   -0.02   -0.02    0.00
    31   1   -0.03   -0.03    0.02   -0.02   -0.05    0.01    0.01    0.02   -0.01
    32   1   -0.02   -0.02    0.01   -0.01   -0.01    0.01   -0.01   -0.02   -0.01
    33   1   -0.04    0.01   -0.08   -0.07    0.03   -0.10    0.05   -0.03    0.03
    34   1    0.11   -0.04    0.09    0.12   -0.03    0.09   -0.05    0.00   -0.03
    35   1    0.00   -0.02    0.01    0.00   -0.01   -0.02   -0.07   -0.09   -0.07
    36   1    0.04    0.00    0.03    0.05    0.02    0.03   -0.03   -0.08   -0.03
    37   1    0.06    0.02    0.05    0.05    0.02    0.02    0.04    0.00    0.04
    38   1    0.08    0.01   -0.13   -0.02   -0.01    0.03   -0.01    0.04   -0.02
    39   1    0.03    0.00   -0.04   -0.01   -0.01    0.01    0.03    0.04   -0.07
    40   1    0.06    0.00   -0.07   -0.00   -0.00   -0.02   -0.04    0.02    0.04

                       40                      41                      42           
                       A                       A                       A            
 Frequencies --        888.6684               909.4995               932.0931       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.05   -0.03   -0.01    0.06   -0.02    0.01   -0.00    0.01   -0.01
     2   6   -0.04   -0.04    0.01   -0.04   -0.04   -0.00    0.00   -0.01    0.02
     3   6   -0.00    0.01   -0.01   -0.00   -0.00    0.00    0.04    0.08    0.02
     4   6   -0.01    0.06   -0.02    0.03    0.05   -0.03    0.00   -0.01    0.00
     5   6    0.02    0.05   -0.01   -0.05   -0.02   -0.00   -0.03   -0.01   -0.01
     6   6    0.03   -0.03   -0.01    0.03   -0.01   -0.03   -0.01    0.00    0.00
     7   6    0.07   -0.05    0.02   -0.07    0.04    0.04   -0.00    0.01   -0.00
     8   6    0.00   -0.02   -0.03   -0.00    0.01    0.00   -0.00    0.00   -0.00
     9   6   -0.09   -0.00    0.06    0.09   -0.00   -0.05    0.02    0.00    0.01
    10   6   -0.01    0.01   -0.02    0.02   -0.02    0.04    0.00    0.00   -0.02
    11   6    0.00    0.03   -0.03   -0.01   -0.02    0.01   -0.01   -0.00   -0.01
    12   6   -0.02   -0.01   -0.00    0.00    0.00   -0.01   -0.07   -0.11    0.03
    13   6    0.01    0.01   -0.02    0.00    0.01   -0.01    0.05    0.10   -0.04
    14   6   -0.02    0.01   -0.02   -0.03    0.01   -0.04    0.01   -0.00    0.01
    15   6   -0.02    0.03    0.03   -0.01    0.02    0.07    0.01   -0.01   -0.00
    16   1    0.14   -0.00    0.08    0.10   -0.01    0.05    0.01    0.01   -0.00
    17   1   -0.22    0.16    0.18   -0.17    0.12    0.14    0.05   -0.05   -0.02
    18   1    0.04   -0.02   -0.01    0.15   -0.08    0.02   -0.02    0.02    0.00
    19   1   -0.04    0.09    0.01    0.02    0.06    0.01    0.01    0.03   -0.01
    20   1   -0.04   -0.04   -0.05   -0.02    0.03    0.05    0.01   -0.01   -0.01
    21   1    0.11   -0.09    0.04   -0.13    0.04    0.02    0.01   -0.01    0.00
    22   1    0.05   -0.07   -0.03    0.01    0.01   -0.01   -0.03   -0.04    0.04
    23   1   -0.07    0.08    0.24    0.06   -0.14   -0.22    0.01   -0.04   -0.06
    24   1    0.10   -0.09    0.03   -0.11    0.14   -0.06   -0.05   -0.01    0.05
    25   1    0.03   -0.09    0.05   -0.04    0.15   -0.08   -0.03   -0.01    0.04
    26   1    0.12    0.02   -0.03   -0.12   -0.12    0.01    0.06    0.03   -0.02
    27   1   -0.01   -0.06    0.04    0.02   -0.00   -0.01    0.01   -0.06    0.02
    28   1   -0.00    0.04    0.05    0.01    0.02   -0.02    0.01    0.04    0.02
    29   1   -0.01    0.17    0.02    0.02   -0.09   -0.00    0.02    0.03    0.01
    30   1    0.02   -0.02    0.02    0.04    0.05    0.01   -0.06   -0.07    0.04
    31   1   -0.03   -0.08    0.03   -0.03   -0.03    0.03   -0.10   -0.11    0.05
    32   1    0.03    0.03    0.02    0.01    0.01    0.02   -0.10   -0.13    0.06
    33   1   -0.02    0.01   -0.07    0.02   -0.02   -0.02    0.34   -0.19   -0.30
    34   1    0.07   -0.02    0.06   -0.02   -0.02    0.02   -0.22   -0.13    0.26
    35   1   -0.07   -0.10   -0.07   -0.08   -0.11   -0.07    0.02    0.03    0.02
    36   1   -0.01   -0.08   -0.02   -0.04   -0.11   -0.05   -0.00    0.01    0.00
    37   1    0.09    0.03    0.09    0.09    0.03    0.10   -0.02   -0.01   -0.02
    38   1   -0.02   -0.07    0.09   -0.12   -0.06    0.20   -0.00    0.01   -0.01
    39   1   -0.07   -0.07    0.14   -0.05   -0.05    0.04    0.02    0.02   -0.02
    40   1    0.07   -0.03   -0.13    0.00   -0.02   -0.09   -0.02    0.00    0.02

                       43                      44                      45           
                       A                       A                       A            
 Frequencies --        942.3993               949.6698               954.2608       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.00   -0.03    0.01   -0.01    0.01   -0.00   -0.02   -0.00   -0.01
     2   6    0.01    0.03   -0.01    0.01   -0.01    0.01    0.01    0.00    0.02
     3   6    0.00   -0.00    0.00    0.00    0.00    0.00    0.00   -0.00   -0.00
     4   6    0.06    0.02    0.02   -0.02   -0.03   -0.04   -0.02    0.01    0.05
     5   6   -0.01   -0.02   -0.00    0.00    0.00   -0.00    0.01    0.01    0.01
     6   6   -0.04    0.10   -0.02   -0.01   -0.02   -0.06   -0.00   -0.07   -0.01
     7   6   -0.03   -0.04    0.02   -0.08    0.07    0.05   -0.01    0.06    0.01
     8   6    0.02   -0.01   -0.01    0.05    0.01   -0.03    0.01    0.00    0.00
     9   6   -0.03    0.02    0.02   -0.02    0.04    0.03    0.02    0.01    0.00
    10   6    0.02   -0.00   -0.03    0.02   -0.05   -0.01   -0.01   -0.02   -0.01
    11   6    0.04   -0.00   -0.01    0.05   -0.02   -0.05   -0.02    0.00   -0.03
    12   6    0.00    0.00    0.01   -0.01    0.00    0.01   -0.00    0.00    0.01
    13   6   -0.00    0.01    0.01    0.00   -0.01    0.00    0.00   -0.01    0.00
    14   6   -0.03   -0.06   -0.03    0.04    0.04    0.02   -0.07   -0.01    0.03
    15   6    0.06    0.01    0.04   -0.03   -0.04    0.02    0.05    0.04   -0.04
    16   1   -0.04   -0.10    0.04   -0.01    0.01   -0.02   -0.01   -0.01    0.02
    17   1    0.03   -0.03   -0.07    0.03   -0.05   -0.02    0.08   -0.09   -0.07
