# Iteration 0
Image 0:
-0.438259 -0.327976 0.010468

Image 4:
0.383611 -0.170125 -0.064193
0.224682 -0.486784 1.322121
-0.066847 0.514967 -0.834897
-0.119028 -0.079419 -0.319268
-0.202116 0.048334 0.068629
-0.022066 0.149561 -0.007385
0.196556 -0.023204 0.067865
-0.101093 0.005761 0.305790
-0.392164 -0.025339 -0.075061
0.374571 -0.123825 -0.039815
0.313221 0.123859 -0.043719
0.016533 0.106565 0.074026
0.038219 0.295357 0.179735
-0.026385 -0.317771 -0.180147
0.006267 -0.131762 -0.059819
0.056963 -0.006649 -0.034315
0.366637 -0.005364 -0.037462
-0.358125 0.025618 0.072689
-0.082454 -0.019945 0.008896
-0.089888 -0.214590 -0.121749
-0.036117 -0.258140 -0.169479
0.069389 0.228307 0.174428
0.002416 0.093182 0.126770
-0.131560 0.150263 -0.021937
-0.185081 0.187722 0.143377
0.083630 0.101783 0.136607
0.257361 0.182520 0.082290
0.202068 -0.133793 -0.100860
0.203693 -0.197944 -0.168879
-0.198509 -0.006958 -0.013325
-0.250380 -0.172679 -0.096336
1.677508 0.367816 0.932060
-1.990718 -0.873288 -1.521156
-0.062275 -0.267734 0.168202
-0.277528 0.299918 -0.212012
0.501782 0.323368 0.336792
0.218444 0.027727 -0.094527
-0.197357 0.247406 0.163756
0.258107 0.227192 0.109714
0.307150 0.180336 0.076475
0.254345 -0.199029 -0.165874
0.197226 -0.244685 -0.189378
-0.253949 -0.215353 -0.122643
-0.301895 -0.173723 -0.088751
-0.251594 0.200317 0.167970
-0.131993 0.316667 -0.297692
-0.063751 0.250974 0.340668
-0.417505 -0.307420 0.021820

Image 5:
0.305291 -0.108932 -0.087442
0.272812 -0.366316 1.410251
-0.056535 0.393167 -0.787462
-0.114140 -0.047629 -0.340484
-0.179230 0.039880 0.087614
-0.029801 0.152972 -0.047486
0.203537 -0.034579 0.092704
-0.118752 -0.012855 0.345119
-0.381271 -0.017726 -0.087815
0.363838 -0.120038 -0.038974
0.327838 0.117419 -0.041636
0.006501 0.098696 0.066787
0.046399 0.277552 0.165154
-0.018708 -0.302904 -0.169136
-0.001874 -0.117716 -0.050478
0.076089 0.014311 -0.030567
0.348403 -0.014073 -0.038049
-0.344597 0.017263 0.063563
-0.079405 -0.005255 0.016062
-0.083543 -0.223124 -0.129519
-0.046376 -0.247739 -0.159326
0.057762 0.217971 0.168122
0.008517 0.094919 0.129868
-0.127911 0.155508 -0.027686
-0.186585 0.188651 0.145314
0.077608 0.103196 0.140404
0.257652 0.183124 0.080650
0.194103 -0.149154 -0.096290
0.204863 -0.199735 -0.168439
-0.200563 -0.002911 -0.006150
-0.252642 -0.175455 -0.096527
2.047668 0.417313 0.974547
-2.433909 -0.985615 -1.698963
-0.061163 -0.273310 0.157665
-0.282555 0.263433 -0.249683
0.528606 0.364902 0.427466
0.231019 0.020320 -0.132656
-0.199163 0.248635 0.163988
0.257628 0.227374 0.108763
0.306215 0.180797 0.074007
0.256146 -0.199573 -0.166263
0.197720 -0.245741 -0.187251
-0.254703 -0.216108 -0.122624
-0.304065 -0.174397 -0.089756
-0.253279 0.201023 0.167360
-0.143202 0.315816 -0.280120
-0.041405 0.226352 0.307453
-0.380842 -0.279708 0.037921

Image 6:
0.213162 0.013893 -0.102014
0.303474 -0.197504 1.415746
-0.049118 0.171603 -0.664663
-0.105795 -0.016169 -0.390088
-0.168128 0.030891 0.113886
-0.038257 0.152400 -0.097159
0.224644 -0.048405 0.128155
-0.156067 -0.022233 0.381668
-0.369885 -0.010327 -0.100192
0.353096 -0.113335 -0.040527
0.358709 0.114157 -0.039309
0.000264 0.096168 0.064633
0.057594 0.258500 0.148317
-0.007408 -0.285501 -0.156808
-0.010619 -0.111824 -0.048120
0.100748 0.036957 -0.025436
0.327311 -0.025000 -0.040624
-0.329013 0.005977 0.052418
-0.079715 0.011231 0.026436
-0.078259 -0.237257 -0.138433
-0.060287 -0.234954 -0.148832
0.040968 0.206503 0.160324
0.015779 0.099428 0.135296
-0.117190 0.159989 -0.035826
-0.188418 0.189990 0.148054
0.067092 0.105491 0.141977
0.257820 0.183739 0.079652
0.182791 -0.159349 -0.090575
0.206292 -0.201518 -0.167822
-0.200702 0.002011 0.000819
-0.254847 -0.178218 -0.096794
2.283151 0.382905 0.881492
-2.748216 -1.024210 -1.733037
-0.049736 -0.266021 0.165043
-0.279634 0.232253 -0.268504
