# Iteration 0
Image 0:
-0.096180 0.033596 0.003558
0.031911 -0.249411 0.141704
-0.091614 -0.309585 -0.194943
0.098017 0.184721 0.137611
0.162991 0.042114 0.053910
0.025992 0.008642 -0.018539
0.000827 0.024272 -0.037017
0.000308 -0.115920 0.075754
-0.086239 0.030556 -0.004832
0.046258 0.008238 0.011091
0.341673 0.994529 -1.169639
-0.356967 0.139535 -0.064598
0.051747 0.034838 0.019110
-0.112054 0.147716 -0.026991
0.071569 -0.060764 -0.187972

Image 4:
-0.124693 -0.045655 -0.064546
0.049432 -0.027928 0.107391
0.055324 -0.747807 0.027028
0.762826 -0.147984 -0.072071
-0.531878 0.607508 1.328152
0.502534 -1.072775 -0.002592
-0.980557 0.536701 0.158116
0.054309 -1.045529 0.001019
0.079698 0.183321 0.125215
-0.166048 0.415409 0.193576
-0.019843 0.352014 -0.650319
-1.309466 0.408708 0.572980
0.329396 0.024236 -0.179624
1.171105 -0.229626 -0.152865
1.049444 -0.277732 1.114885
-0.639241 0.371082 -1.188038
0.017678 -0.112748 -0.072751
-0.058462 0.010040 0.088366
-0.029493 0.067239 -0.042954
0.109877 0.049770 0.040470
0.037323 -0.100809 0.033121
0.020887 -0.038575 -0.045558
-0.099817 0.001326 0.004934
0.067863 -0.044112 0.064028
-0.009548 0.282331 0.080228
-0.002894 -0.015710 -0.149128
0.038956 -0.120043 -0.023590
0.012955 0.038645 -0.045487
-0.882995 0.185628 -0.017420
0.005883 -0.167225 0.056822
0.003027 -0.002832 0.036734
-0.061709 -0.189058 1.185067
0.425484 -0.257979 -1.026005
-0.131267 0.015237 0.033230
-0.063354 0.028115 -0.058591
0.033262 -0.040301 -0.030559
0.057122 0.017043 -0.042769
-0.093426 0.033647 0.002968
0.024583 -0.310056 0.138207
-0.070720 -0.347287 -0.160786
0.091763 0.194166 0.113015
0.240547 0.053430 0.021120
0.006193 -0.026155 -0.019779
0.013713 0.024109 -0.058875
-0.001264 -0.144678 0.089767
-0.107819 0.037203 -0.011455
0.058903 0.025261 0.024575
0.378684 1.265296 -1.271869
-0.343801 0.154513 -0.038827
0.057598 0.039963 0.013260
-0.108581 0.158459 -0.041967
0.080510 -0.067793 -0.185850

Image 5:
-0.122187 -0.086259 -0.084817
0.064463 -0.050109 0.108100
0.025712 -0.864421 0.018629
0.769245 -0.159508 -0.114987
-0.540387 0.675121 1.444867
0.554863 -1.332361 -0.058530
-1.015955 0.597653 0.242944
0.036919 -1.162277 -0.070559
0.096953 0.211002 0.129513
-0.178940 0.465078 0.235494
0.003436 0.391013 -0.658230
-1.519585 0.521218 0.616681
0.395924 0.001829 -0.171338
1.178672 -0.209310 -0.190988
1.139434 -0.299348 1.136439
-0.661117 0.397507 -1.213485
0.042272 -0.120144 -0.074157
-0.056962 0.007848 0.089865
-0.031492 0.066788 -0.044175
0.114630 0.057944 0.044964
0.036781 -0.081777 0.042917
0.016527 -0.037490 -0.047083
-0.111996 -0.005070 0.003958
0.064761 -0.044722 0.065406
-0.005180 0.346177 0.093518
-0.005034 -0.010752 -0.155170
0.036666 -0.124032 -0.014252
0.010017 0.032051 -0.055981
-0.887652 0.190385 -0.009346
-0.050118 -0.158723 0.053873
0.029558 -0.000480 0.025669
-0.287808 0.002215 1.596883
0.549860 -0.446594 -1.373395
-0.112397 0.014588 0.061331
-0.070552 0.021656 -0.055084
0.033013 -0.046971 -0.034946
0.057105 0.017305 -0.044791
-0.091812 0.034650 0.002356
